id,market,detectedAt,currentPrice,previousPrice,changeRate,rankByChangeRate,rankByTradeValue,missedReason,suggestedStrategy,relatedRuleBefore,suggestedRuleAfter
24,KRW-GMT,1778457652815,18.1,18.1,2.84090909,10,191,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
25,KRW-VTHO,1778457652815,0.91,0.91,2.94117647,8,203,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
26,KRW-ICX,1778457652815,60.3,60.3,3.07692308,6,243,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
27,KRW-BEAM,1778457684646,3.14,3.14,2.61437908,9,241,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
28,KRW-TAIKO,1778457684646,185.0,185.0,2.77777778,7,178,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
29,KRW-MTL,1778457684646,494.0,494.0,2.7027026999999997,8,249,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
30,KRW-MANA,1778457684646,146.0,146.0,2.81690141,6,200,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
31,KRW-MIRA,1778457684646,131.0,131.0,2.34375,10,140,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
32,KRW-JST,1778457716583,125.0,125.0,1.6260162599999999,9,227,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
33,KRW-HP,1778457716583,24.4,24.4,2.09205021,3,250,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.83% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
34,KRW-YGG,1778457716583,69.6,69.6,1.9033674999999999,7,244,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
35,KRW-SENT,1778457716583,26.0,26.0,1.9607843100000002,5,196,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
36,KRW-BIRB,1778457716583,214.0,214.0,1.9047618999999998,6,179,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
37,KRW-POLYX,1778457716583,79.9,79.9,2.04342273,4,191,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, -0.12% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
38,KRW-POWR,1778457748583,102.0,102.0,0.99009901,10,208,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
39,KRW-EGLD,1778457748583,7050.0,7015.0,1.29310345,6,61,"TRADE_VALUE_FILTER_EXCLUDED: move 0.50% from previous snapshot, 1.29% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
40,KRW-ENA,1778457748583,195.0,195.0,1.0362694300518136,8,59,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 1.04% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
41,KRW-KAVA,1778457748583,101.0,101.0,1.0,9,157,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
42,KRW-QKC,1778457748583,4.86,4.86,1.03950104,7,254,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, -0.41% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
43,KRW-WLFI,1778457780286,102.0,101.0,0.99009901,10,74,"TRADE_VALUE_FILTER_EXCLUDED: move 0.99% from previous snapshot, 0.99% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
44,KRW-IP,1778457780286,882.0,881.0,1.03092784,9,31,"TRADE_VALUE_FILTER_EXCLUDED: move 0.11% from previous snapshot, 0.92% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
45,KRW-BLEND,1778457811712,183.0,182.0,1.10497238,7,37,"TRADE_VALUE_FILTER_EXCLUDED: move 0.55% from previous snapshot, 1.10% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
46,KRW-KERNEL,1778457811712,102.0,102.0,0.99009901,10,216,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
47,KRW-ALT,1778457843153,12.3,12.2,1.6528925600000002,6,194,"TRADE_VALUE_FILTER_EXCLUDED: move 0.82% from previous snapshot, 0.82% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
48,KRW-ETC,1778457874447,14770.0,14700.0,1.1643835616438356,9,63,"TRADE_VALUE_FILTER_EXCLUDED: move 0.48% from previous snapshot, 1.16% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
49,KRW-CVC,1778458426828,51.9,50.2,4.2168674699999995,3,37,"TRADE_VALUE_FILTER_EXCLUDED: move 3.39% from previous snapshot, 4.22% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
50,KRW-OPEN,1778458426828,290.0,287.0,1.0452961699999999,9,56,"TRADE_VALUE_FILTER_EXCLUDED: move 1.05% from previous snapshot, 1.05% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
51,KRW-MEGA,1778458426828,189.0,187.0,1.61290323,7,46,"TRADE_VALUE_FILTER_EXCLUDED: move 1.07% from previous snapshot, 1.61% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
52,KRW-KAITO,1778458457790,748.0,747.0,1.0810810810810811,10,189,"TRADE_VALUE_FILTER_EXCLUDED: move 0.13% from previous snapshot, 1.08% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
53,KRW-BIGTIME,1778458457790,22.8,22.6,1.7857142857142954,9,144,"TRADE_VALUE_FILTER_EXCLUDED: move 0.88% from previous snapshot, 1.79% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
54,KRW-MBL,1778458488564,1.44,1.43,1.4084507,8,236,"TRADE_VALUE_FILTER_EXCLUDED: move 0.70% from previous snapshot, 0.70% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
55,KRW-WET,1778458583153,144.0,143.0,1.4084507,8,118,"TRADE_VALUE_FILTER_EXCLUDED: move 0.70% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
56,KRW-ELF,1778458724791,121.0,120.0,0.8333333333333334,9,233,"TRADE_VALUE_FILTER_EXCLUDED: move 0.83% from previous snapshot, 0.83% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
57,KRW-ORCA,1778458817041,2457.0,2439.0,1.1111111111111112,10,31,"TRADE_VALUE_FILTER_EXCLUDED: move 0.74% from previous snapshot, 1.11% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
58,KRW-TT,1778458890886,1.37,1.35,1.4814814814814827,6,232,"TRADE_VALUE_FILTER_EXCLUDED: move 1.48% from previous snapshot, 1.48% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
59,KRW-MED,1778458890886,3.34,3.27,2.1406727828746126,5,228,"TRADE_VALUE_FILTER_EXCLUDED: move 2.14% from previous snapshot, 2.14% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
60,KRW-META,1778458890886,15.0,14.9,1.3513513513513467,10,241,"TRADE_VALUE_FILTER_EXCLUDED: move 0.67% from previous snapshot, 1.35% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
61,KRW-AHT,1778458967112,2.42,2.39,1.6806722699999999,8,244,"TRADE_VALUE_FILTER_EXCLUDED: move 1.26% from previous snapshot, 1.68% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
62,KRW-ARK,1778458967112,279.0,277.0,1.4545454500000001,10,176,"TRADE_VALUE_FILTER_EXCLUDED: move 0.72% from previous snapshot, 1.09% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
63,KRW-IQ,1778459030776,1.74,1.72,1.7543859649122824,9,223,"TRADE_VALUE_FILTER_EXCLUDED: move 1.16% from previous snapshot, 1.75% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
64,KRW-GAME2,1778459030776,2.13,2.12,1.9138756,8,245,"TRADE_VALUE_FILTER_EXCLUDED: move 0.47% from previous snapshot, 1.91% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
65,KRW-AQT,1778459062463,837.0,834.0,1.82481752,8,217,"TRADE_VALUE_FILTER_EXCLUDED: move 0.36% from previous snapshot, 1.82% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
66,KRW-CBK,1778459203769,401.0,400.0,1.7766497499999998,10,209,"TRADE_VALUE_FILTER_EXCLUDED: move 0.25% from previous snapshot, 1.52% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
67,KRW-MVL,1778459253382,2.03,2.02,2.010050251256272,9,229,"TRADE_VALUE_FILTER_EXCLUDED: move 0.50% from previous snapshot, 2.01% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
68,KRW-AKT,1778459406074,1131.0,1128.0,2.07581227,10,65,"TRADE_VALUE_FILTER_EXCLUDED: move 0.27% from previous snapshot, 1.43% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
69,KRW-USDT,1778459458088,1472.0,1470.0,0.34083163,45,7,"SCORE_TOO_LOW: move 0.14% from previous snapshot, 0.14% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
70,KRW-KITE,1778459543834,265.0,263.0,2.7131782945736433,10,45,"TRADE_VALUE_FILTER_EXCLUDED: move 0.76% from previous snapshot, 2.71% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
71,KRW-LAYER,1778459584191,177.0,178.0,1.1428571428571428,255,2,"SCORE_TOO_LOW: move -0.56% from previous snapshot, 1.14% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
72,KRW-CTC,1778459726295,245.0,243.0,3.8135593220338984,10,83,"TRADE_VALUE_FILTER_EXCLUDED: move 0.82% from previous snapshot, 3.81% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
73,KRW-STRAX,1778460203151,21.1,21.0,2.42718447,9,155,"TRADE_VALUE_FILTER_EXCLUDED: move 0.48% from previous snapshot, 1.44% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
74,KRW-ETH,1778460234491,3460000.0,3457000.0,0.08678044547295344,111,6,"SCORE_TOO_LOW: move 0.09% from previous snapshot, -0.35% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
75,KRW-CVC,1778460234491,51.5,51.4,3.41365462,6,33,"TRADE_VALUE_FILTER_EXCLUDED: move 0.19% from previous snapshot, 0.98% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
76,KRW-BTC,1778460234491,119888000.0,119866000.0,0.018353828441759965,122,5,"SCORE_TOO_LOW: move 0.02% from previous snapshot, -0.19% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
77,KRW-MBL,1778460296889,1.67,1.67,17.6056338,1,65,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 2.45% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
78,KRW-XRP,1778460328171,2143.0,2144.0,-0.046641791044776115,155,1,"SCORE_TOO_LOW: move -0.05% from previous snapshot, -0.46% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
79,KRW-PROS,1778460546588,1307.0,1302.0,0.38402457757296465,250,3,"SCORE_TOO_LOW: move 0.38% from previous snapshot, 0.23% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
80,KRW-PIEVERSE,1778460703551,1207.0,1207.0,1.85654008,10,48,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.58% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
81,KRW-TT,1778460703551,1.4,1.4,3.7037037,3,176,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
82,KRW-MED,1778460703551,3.38,3.37,3.36391437,5,135,"TRADE_VALUE_FILTER_EXCLUDED: move 0.30% from previous snapshot, -1.46% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
83,KRW-AHT,1778460798419,2.46,2.46,3.3613445399999997,6,229,"TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.82% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
84,KRW-ARK,1778460798419,282.0,284.0,2.5454545499999996,8,120,"TRADE_VALUE_FILTER_EXCLUDED: move -0.70% from previous snapshot, -0.35% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
85,KRW-ENS,1778461105924,11020.0,11000.0,1.9426457000000001,10,17,"UNKNOWN: move 0.18% from previous snapshot, 0.36% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Review SignalEngine filters for this market pattern.
86,KRW-CFG,1778461200996,460.0,460.0,1.7699115,10,23,"UNKNOWN: move 0.00% from previous snapshot, 0.44% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Review SignalEngine filters for this market pattern.
87,KRW-USDT,1778461264145,1471.0,1471.0,0.2726653,36,7,"SCORE_TOO_LOW: move 0.00% from previous snapshot, 0.14% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
88,KRW-KITE,1778461360871,270.0,269.0,4.24710425,3,45,"TRADE_VALUE_FILTER_EXCLUDED: move 0.37% from previous snapshot, 0.75% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
89,KRW-LAYER,1778461392283,176.0,175.0,0.5714285714285714,254,2,"SCORE_TOO_LOW: move 0.57% from previous snapshot, -1.68% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
90,KRW-IQ,1778461392283,1.74,1.73,1.75438596,10,200,"TRADE_VALUE_FILTER_EXCLUDED: move 0.58% from previous snapshot, 0.58% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
91,KRW-ZAMA,1778461423632,44.5,44.4,1.83066362,9,208,"TRADE_VALUE_FILTER_EXCLUDED: move 0.23% from previous snapshot, 0.91% over 30 minutes.",Momentum Breakout,Only top 30 markets by 24h trade value are scanned for strategies.,Include fast-rising change-rate top 10 markets even when outside trade-value top 30.
92,KRW-ETH,1778462050528,3464000.0,3466000.0,0.2895193977996526,84,6,"SCORE_TOO_LOW: move -0.06% from previous snapshot, 0.29% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
93,KRW-BTC,1778462050528,119900000.0,119879000.0,0.157043571237637,98,5,"SCORE_TOO_LOW: move 0.02% from previous snapshot, 0.16% over 30 minutes.",Momentum Breakout,Current score threshold and pattern filters did not produce a top signal.,Rebalance score weights when rank and short-term move both improve.
