id,changedAt,affectedStrategyName,strategyVersionBefore,strategyVersionAfterSuggestion,beforeRule,afterRule,reason,evidenceMarkets,expectedEffect,applied
29,1778463866989,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 23 time(s).",Momentum Breakout is related to repeated missed opportunities.,"KRW-BTC, KRW-ZAMA, KRW-AHT, KRW-LAYER, KRW-KITE, KRW-STRAX, KRW-USDT, KRW-ENS, KRW-ARK, KRW-IOTA, KRW-MON, KRW-2Z, KRW-MED, KRW-TT, KRW-PIEVERSE, KRW-PROS, KRW-CTC, KRW-XRP, KRW-MBL, KRW-ETH, KRW-IQ, KRW-CFG, KRW-CVC, KRW-AKT, KRW-MVL, KRW-CBK, KRW-AQT, KRW-GAME2, KRW-META, KRW-ORCA, KRW-ELF, KRW-WET, KRW-BIGTIME, KRW-KAITO, KRW-MEGA, KRW-OPEN, KRW-ETC, KRW-ALT, KRW-KERNEL, KRW-BLEND, KRW-IP, KRW-WLFI, KRW-QKC, KRW-KAVA, KRW-ENA, KRW-EGLD, KRW-POWR, KRW-POLYX, KRW-BIRB, KRW-SENT, KRW-YGG, KRW-HP, KRW-JST, KRW-MIRA, KRW-MANA, KRW-MTL, KRW-TAIKO, KRW-BEAM, KRW-ICX, KRW-VTHO, KRW-GMT, KRW-IMX, KRW-ATH, KRW-AWE, KRW-IOST, KRW-ATOM, KRW-LPT, KRW-BREV, KRW-MNT, KRW-MINA, KRW-SOPH, KRW-ZRX",Reduce repeated misses or weak outcomes after user review.,0
30,1778463866989,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 23 time(s).","Volume Accumulation is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
31,1778464086363,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 20 time(s).","Volume Accumulation is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
32,1778464086363,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 20 time(s).",Momentum Breakout is related to repeated missed opportunities.,"KRW-ONDO, KRW-WET, KRW-MBL, KRW-BTC, KRW-ZAMA, KRW-AHT, KRW-LAYER, KRW-KITE, KRW-STRAX, KRW-USDT, KRW-ENS, KRW-ARK, KRW-IOTA, KRW-MON, KRW-2Z, KRW-MED, KRW-TT, KRW-PIEVERSE, KRW-PROS, KRW-CTC, KRW-XRP, KRW-ETH, KRW-IQ, KRW-CFG, KRW-CVC, KRW-AKT, KRW-MVL, KRW-CBK, KRW-AQT, KRW-GAME2, KRW-META, KRW-ORCA, KRW-ELF, KRW-BIGTIME, KRW-KAITO, KRW-MEGA, KRW-OPEN, KRW-ETC, KRW-ALT, KRW-KERNEL, KRW-BLEND, KRW-IP, KRW-WLFI, KRW-QKC, KRW-KAVA, KRW-ENA, KRW-EGLD, KRW-POWR, KRW-POLYX, KRW-BIRB, KRW-SENT, KRW-YGG, KRW-HP, KRW-JST, KRW-MIRA, KRW-MANA, KRW-MTL, KRW-TAIKO, KRW-BEAM, KRW-ICX, KRW-VTHO, KRW-GMT, KRW-IMX, KRW-ATH, KRW-AWE, KRW-IOST, KRW-ATOM, KRW-LPT, KRW-BREV, KRW-MNT",Reduce repeated misses or weak outcomes after user review.,0
33,1778464086363,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 20 time(s).","Rebound Watch is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
34,1778464179814,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 19 time(s).","Volume Accumulation is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
35,1778464179814,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 19 time(s).",Momentum Breakout is related to repeated missed opportunities.,"KRW-PROS, KRW-ONDO, KRW-WET, KRW-MBL, KRW-BTC, KRW-ZAMA, KRW-AHT, KRW-LAYER, KRW-KITE, KRW-STRAX, KRW-USDT, KRW-ENS, KRW-ARK, KRW-IOTA, KRW-MON, KRW-2Z, KRW-MED, KRW-TT, KRW-PIEVERSE, KRW-CTC, KRW-XRP, KRW-ETH, KRW-IQ, KRW-CFG, KRW-CVC, KRW-AKT, KRW-MVL, KRW-CBK, KRW-AQT, KRW-GAME2, KRW-META, KRW-ORCA, KRW-ELF, KRW-BIGTIME, KRW-KAITO, KRW-MEGA, KRW-OPEN, KRW-ETC, KRW-ALT, KRW-KERNEL, KRW-BLEND, KRW-IP, KRW-WLFI, KRW-QKC, KRW-KAVA, KRW-ENA, KRW-EGLD, KRW-POWR, KRW-POLYX, KRW-BIRB, KRW-SENT, KRW-YGG, KRW-HP, KRW-JST, KRW-MIRA, KRW-MANA, KRW-MTL, KRW-TAIKO, KRW-BEAM, KRW-ICX, KRW-VTHO, KRW-GMT, KRW-IMX, KRW-ATH, KRW-AWE, KRW-IOST, KRW-ATOM, KRW-LPT, KRW-BREV",Reduce repeated misses or weak outcomes after user review.,0
36,1778464179814,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 19 time(s).","Rebound Watch is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
37,1778464904084,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 16 time(s).",Momentum Breakout is related to repeated missed opportunities.,"KRW-ORCA, KRW-USDT, KRW-2Z, KRW-XRP, KRW-ARK, KRW-IOTA, KRW-TT, KRW-BLEND, KRW-AKT, KRW-PROS, KRW-ONDO, KRW-WET, KRW-MBL, KRW-BTC, KRW-ZAMA, KRW-AHT, KRW-LAYER, KRW-KITE, KRW-STRAX, KRW-ENS, KRW-MON, KRW-MED, KRW-PIEVERSE, KRW-CTC, KRW-ETH, KRW-IQ, KRW-CFG, KRW-CVC, KRW-MVL, KRW-CBK, KRW-AQT, KRW-GAME2, KRW-META, KRW-ELF, KRW-BIGTIME, KRW-KAITO, KRW-MEGA, KRW-OPEN, KRW-ETC, KRW-ALT, KRW-KERNEL, KRW-IP, KRW-WLFI, KRW-QKC, KRW-KAVA, KRW-ENA, KRW-EGLD, KRW-POWR, KRW-POLYX, KRW-BIRB, KRW-SENT, KRW-YGG, KRW-HP, KRW-JST, KRW-MIRA, KRW-MANA, KRW-MTL, KRW-TAIKO, KRW-BEAM, KRW-ICX",Reduce repeated misses or weak outcomes after user review.,0
38,1778464904084,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 16 time(s).","Rebound Watch is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
39,1778464904084,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 16 time(s).","Volume Accumulation is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
40,1778464966633,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 15 time(s).","Rebound Watch is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
41,1778464966633,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 15 time(s).","Volume Accumulation is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
42,1778464966633,Momentum Breakout,v1,v1-proposal,Current SignalEngine scoring and filters for Momentum Breakout.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 15 time(s).",Momentum Breakout is related to repeated missed opportunities.,"KRW-STRAX, KRW-ORCA, KRW-USDT, KRW-2Z, KRW-XRP, KRW-ARK, KRW-IOTA, KRW-TT, KRW-BLEND, KRW-AKT, KRW-PROS, KRW-ONDO, KRW-WET, KRW-MBL, KRW-BTC, KRW-ZAMA, KRW-AHT, KRW-LAYER, KRW-KITE, KRW-ENS, KRW-MON, KRW-MED, KRW-PIEVERSE, KRW-CTC, KRW-ETH, KRW-IQ, KRW-CFG, KRW-CVC, KRW-MVL, KRW-CBK, KRW-AQT, KRW-GAME2, KRW-META, KRW-ELF, KRW-BIGTIME, KRW-KAITO, KRW-MEGA, KRW-OPEN, KRW-ETC, KRW-ALT, KRW-KERNEL, KRW-IP, KRW-WLFI, KRW-QKC, KRW-KAVA, KRW-ENA, KRW-EGLD, KRW-POWR, KRW-POLYX, KRW-BIRB, KRW-SENT, KRW-YGG, KRW-HP, KRW-JST, KRW-MIRA, KRW-MANA, KRW-MTL, KRW-TAIKO, KRW-BEAM",Reduce repeated misses or weak outcomes after user review.,0
43,1778465029353,Volume Accumulation,v1,v1-proposal,Current SignalEngine scoring and filters for Volume Accumulation.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 14 time(s).","Volume Accumulation is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
44,1778465029353,Rebound Watch,v1,v1-proposal,Current SignalEngine scoring and filters for Rebound Watch.,"Review rule for TRADE_VALUE_FILTER_EXCLUDED: move 0.00% from previous snapshot, 0.00% over 30 minutes.; repeated 14 time(s).","Rebound Watch is stable in the recent sample, but needs more observations.",Recent signal history,Reduce repeated misses or weak outcomes after user review.,0
